consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
Deere [dear] Brotheren [brethren],1,-1.1129999999999995,2,false,"","",true,1,1,4,49.62374936733303,324.2868997642896,120.18602155713194,110.01331228317059
(ffsH: [Francis Howgill] & [and] E.B: [Edward Burrough] &c: [etc.]),2,-1.1129999999999995,2.125,true,"",Lukas_Kaiser,true,1,1,4,371.49613259668513,731.7348066298342,124.43816682078938,111.3428218716299
In the life that Doth[does] Enduer [endure] & [and] the love wch [which] proceedes [proceeds] from,3,-1.1129999999999995,2,false,"","",true,1,1,2,64.90661685238197,1097.5662606379312,164.6594690643067,178.6901913098218
"him that Doth [does] us keepe [keep] & [and] Deliver, doe [do] I [deletion]thee[/deletion] you salute",4,-1.1129999999999995,1,false,"","",true,1,1,1,95.77416183238847,1084.4709156887718,208.62235899347277,211.4284908825396
& [and] therin [therein] Injoy: [enjoy] I Am now at Swartmore [Swarthmore]; And since,5,-1.1129999999999995,1,true,"",Lukas_Kaiser,true,1,1,1,85.48498017238632,1094.760097348774,250.71446292983703,262.8743991825504
I came hither [here] (this 4th of the 8th [October 4]) I heare [hear] that there,6,-1.1129999999999995,2,true,"",Lukas_Kaiser,true,1,1,2,69.58351903420524,1091.9539340596166,306.83725771162597,298.418830644335
is A Letter or word come; That I should with speed,7,-1.1129999999999995,1,false,"","",true,1,1,1,72.38965092327206,1075.1170799250347,341.4463476927831,347.05861147091673
Come up to London; But this is to certifie [certify]; That by,8,-1.1129999999999995,1,true,"",Lukas_Kaiser,true,1,1,1,65.84199414873757,1080.7294065033493,392.8922245927034,391.02146999999223
the way as I came; I left word for A meeting to be,9,-1.1129999999999995,3,false,"","",false,1,1,3,64.90661685238197,1076.987897317927,433.11357393635654,434.98432852906774
about Sedbur [Sedbergh?]; the next fourth day of ye [the] weeke [week]: And,10,-1.1129999999999995,3,true,"",Lukas_Kaiser,false,1,1,3,63.0358465596255,1076.987897317927,477.07645944988485,487.365641109887
it is Appointed A generall [general] meeting therabouts [thereabouts]: And,11,-1.1129999999999995,3,true,"",Lukas_Kaiser,false,1,1,3,57.423567081446606,1070.440224843347,522.9100725716715,514.4916455043806
"also, one generall [general] meeting att [at] Elderith [Eldroth], on the 6th",12,-1.1129999999999995,1,true,"",Lukas_Kaiser,true,1,1,1,50.87591030691212,1058.2803513908148,571.5498568326382,563.1314297653473
day after; And A meeting to be At Sculehouse [Schoolhouse?],13,-1.1129999999999995,1,true,"",Lukas_Kaiser,true,1,1,1,52.74666489962331,1061.0863890796102,617.3834778044476,616.448100508092
on the first day after that; And for A meeting to,14,-1.1129999999999995,2,false,"","",true,1,1,2,57.423567081446606,1064.8278982650324,671.6355179935252,666.0232385153463
be at Doctor Hodgshons: [Doctor Hodgson's] on the 3d day after that.,15,-1.1129999999999995,1,true,"",Lukas_Kaiser,true,1,1,1,58.358960077847456,1053.6033707087652,716.5337852190469,703.4384402698875
these meetings are Appointed wch [which] if the Lord pmitt [permit],16,-1.1129999999999995,1,false,"","",true,1,1,1,59.29433737420308,1060.151043183345,766.108907526256,749.2720847917647
I Am to be att [at]; And did order the Appointing of,17,-1.1129999999999995,3,true,"",Lukas_Kaiser,false,1,1,3,55.552812488735384,1050.797207419608,825.0378655972022,799.7826157954198
them (soe [so] to be) in the way of my Comeing [coming] hither [here];,18,-1.1129999999999995,1,true,"",Lukas_Kaiser,true,1,1,1,66.77737144509317,1047.9911697308125,868.0653468299222,849.357738102629
that I might Endeavour to Returne [return] shortly againe [again],19,-1.1129999999999995,1,false,"","",true,1,1,1,68.64814173784964,1048.9265156270778,911.0927966625513,885.837546860769
into yorkshier; [Yorkshire] Expecting that there will be some,20,-1.1129999999999995,1,false,"","",true,1,1,1,49.005155714200896,1043.3141890487632,955.9910638880731,919.5112237298424
"buisines [business] for mee [me] here, about John Taylor: whome [who] I",21,-1.1129999999999995,1,false,"","",true,1,1,1,51.90657120542818,1022.2768664432056,996.8793984468495,959.3863875154423
writt [wrote] to Robt Rich [Robert Rich?] to Enquier [enquire] after; &c: [etc.] And before,22,-1.1129999999999995,3,true,"",Lukas_Kaiser,false,1,1,3,38.71597405419871,1036.7665165741832,1056.0767171989376,1006.5015791916832
I come out of yorkshier [Yorkshire]; I ordered John Killam [John Kilham] & [and],23,-1.1129999999999995,1,true,"",Lukas_Kaiser,true,1,1,1,47.13438542144442,1036.7665165741832,1100.039575728013,1057.9474717916487
one or 2 more for to goe [go] into Lincolneshier [Lincolnshire]; to,24,-1.1129999999999995,3,true,"",Lukas_Kaiser,false,1,1,3,57.423567081446606,1036.7665165741832,1147.7439748426013,1092.5565573571682
seorch [search] out the matter of disorder occasioned by,25,-1.1129999999999995,1,false,"","",true,1,1,1,56.48818978509101,1027.4128064108083,1189.8360787789657,1144.9378429535345
John Taylor; That if he come downe [down]; there,26,-1.1129999999999995,3,true,"",Lukas_Kaiser,false,1,1,3,57.423567081446606,1027.4128064108083,1231.92818271533,1181.4176517116748
may be A meeting Conserning [concerning] the same; And,27,-1.1129999999999995,2.7777777777777777,false,"","",true,1,1,3,81.74345528691862,1005.8989715941768,1276.826418540761,1229.1220508262631
moreover I left word with John Killem [John Kilham]; That if,28,-1.1129999999999995,3,true,"",Lukas_Kaiser,false,1,1,3,56.48818978509101,1032.089661492496,1333.8846534190868,1272.1495634590738
he Either mett [met] with John Taylor; or heard of his Returne [return],29,-1.1129999999999995,2,false,"","",true,1,1,2,66.77737144509317,1033.960353285026,1374.10600276274,1322.6600944627291
to his outward beeing [being] &c: [etc.] that within 3 weeks after,30,-1.1129999999999995,1,false,"","",true,1,1,1,63.0358465596255,1033.960353285026,1407.7796796318135,1354.4630167390912
he was Come or Therabouts [thereabouts] A meeting should be,31,-1.1129999999999995,2,false,"","",true,1,1,2,52.74666489962331,1028.3481523070734,1453.6132927536,1396.5551206754556
"appointed to Enquier [enquire] into ye [the] Things done, by the",32,-1.1129999999999995,1,false,"","",true,1,1,1,60.22971467055868,1020.8651339362286,1490.0931329118307,1433.970338130042
said John Taylor; that deceipt [deceit] may be Condemned & [and],33,-1.1129999999999995,2,false,"","",true,1,1,2,54.61743519237979,1023.6711716250238,1535.926683233436,1486.3515452261818
the truth Justified/. And Likewise before I come,34,-1.1129999999999995,1,false,"","",true,1,1,1,57.423567081446606,1016.188153254179,1565.858850917087,1535.926683233436
from Balby I was ordered (& [and] word sent to give,35,-1.1129999999999995,1,false,"","",true,1,1,1,54.61743519237979,1000.2867706162242,1607.0155775570956,1585.5018369407358
"notice) That one of A Church (in yorkshier [Yorkshire], Lincolnshier [Lincolnshire]",36,-1.1129999999999995,2,true,"",Lukas_Kaiser,true,1,1,2,49.005155714200896,1007.769788987069,1651.9138447826174,1643.4954177153263
derbyshier [Derbyshire] & [and] notinghamshier [Nottinghamshire] ) Aperoved [approved] Amongst [Among] them,37,-1.1129999999999995,1,true,"",Lukas_Kaiser,true,1,1,1,43.392876236022005,1017.1236247508061,1682.7813897626238,1681.8459810661777
should there meet in the [illegible] the 9th month [November]; To,38,-1.1129999999999995,1,true,"",Lukas_Kaiser,true,1,1,1,51.811287603267715,1015.252807357914,1714.5843120389861,1739.8395618407685
38,39,-1.1129999999999995,1,false,"","",true,1,2,1,783.3245426642112,823.3510620012278,57.03140577041134,62.36827501534688
